Pág.;Folha;Mês;Ano;VENCIMENTO PADRAO-VP;ADICIONAL POR MERITO;ABF-ADIC.BASICO DE FUNCAO;ATFC-AD.TEMP.FATORES/COMI;PREVI PESSOAL PB2;PREVI PES.MENSAL PB2-2B;CONTR. TEMPORARIA - CASSI;CASSI PESSOAL;INSS-CONTR.PESSOAL;IMPOSTO DE RENDA-FONTE;HORA EXTRA-BCO HORAS-CONV JULHO/18;CASSI-PARTICIPACOES;CASSI CO-PARTICIPACAO;PREVI PESSOAL PB2 AC.SIST/0718;PREVI PES.MENSAL PB2-2B JULHO/18;CONTR. TEMPORARIA - CASSI JULHO/18;CASSI PESSOAL JULHO/18;HORA EXTRA-BCO HORAS-CONV AGOSTO/18;CASSI-ASSISTENCIA FARMACE;CONTRIBUICAO NEGOCIAL;CONTRIBUICAO NEGOCIAL (2);PREVI PESSOAL PB2 AC.SIST/0818;PREVI PES.MENSAL PB2-2B AGOSTO/18;CONTR. TEMPORARIA - CASSI AGOSTO/18;CASSI PESSOAL AGOSTO/18;ADICIONAL DE FERIAS;PROVENTOS FERIAS;FERIAS-CONVERSAO ESPECIE;ANTECIPACAO ADIC. FERIAS;ANTEC. DE PROVENTOS - FER;ANTEC.CONVERS-FER/LP/AB/F;OUTROS DESCONTOS FERIAS;INSS FERIAS;PREVIDENCIA COMPL. FERIAS;GRATIF. NATAL-ADIANT.;GRATIFICACAO DE NATAL;PREVI PESSOAL ANUAL PB2 S/13 SAL;PREVI PES. ANUAL PB2-2B S/13 SAL;CASSI PESSOAL S/13 SAL;INSS-CONTR.PESSOAL S/13 SAL;IMPOSTO DE RENDA-FONTE S/13 SAL;IMPOSTO DE RENDA-FONTE SETEMBRO/18;IMPOSTO DE RENDA-FONTE S/FERIAS
1;MÊS;08;2018;3.059,94;602,14;1.896,19;630,36;-433,20;-61,88;-61,88;-185,65;-621,03;-473,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ACERTO;08;2018;;;;;;;;;;3,26;-12,89;-67,72;-0,54;0,90;0,12;0,12;0,38;;;;;;;;;;;;;;;;;;;;;;;;;;
2;MÊS;09;2018;3.212,93;632,24;1.990,99;661,87;-454,86;-64,98;-64,98;-194,93;-621,03;-551,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;ACERTO;09;2018;;;;;;;;;;4,11;;-81,13;-57,91;;;;;-16,24;-2,44;-97,47;-76,12;1,14;0,16;0,16;0,48;;;;;;;;;;;;;;;;;;
3;MÊS;10;2018;428,59;84,42;265,63;88,31;-586,25;-167,49;-83,74;-251,25;-621,03;;;;;;;;;;;;;;;;;1.877,01;5.631,08;;;;;;;;;;;;;;;;
3;ACERTO;10;2018;;;;;;;;;;;;-49,82;-25,46;;;;;;;;;;;;;;;1.155,21;-1.877,21;-5.631,63;-1.155,21;300,35;621,04;600,70;;;;;;;;;
4;MÊS;11;2018;3.212,93;632,24;1.990,99;661,87;-454,86;-64,98;-64,98;-194,94;-621,03;-551,72;;;;;;;;;;;;;;;;;;;;;;;;;-3.094,31;6.498,03;-454,86;-64,94;-194,94;-621,03;-551,73;;
4;ACERTO;11;2018;;;;;;;;;;;;-75,58;-2,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;MÊS;12;2018;3.212,93;632,24;1.990,99;661,87;-454,86;-64,98;-64,98;-194,94;-621,03;-551,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;ACERTO;12;2018;;;;;;;;;;;;-88,72;-3,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-14,98;14,98
